경기날짜,팀,팀1점수,팀2점수,승패,점수차
18.01. 01:00,레바논,4,1,2,3
18.01. 01:00,사우디아라비아,0,2,0,-2
17.01. 22:30,오만,3,1,2,2
17.01. 22:30,일본,2,1,2,1
17.01. 01:00,베트남,2,0,2,2
17.01. 01:00,이란,0,0,1,0
16.01. 22:30,대한민국,2,0,2,2
16.01. 22:30,키르기스스탄,3,1,2,2
15.01. 22:30,팔레스타인,0,0,1,0
15.01. 22:30,호주,3,2,2,1
15.01. 01:00,아랍에미리트,1,1,1,0
15.01. 01:00,인도,0,1,0,-1
14.01. 01:00,투르크메니스탄,0,4,0,-4
13.01. 22:30,오만,0,1,0,-1
13.01. 20:00,북한 ,0,6,0,-6
13.01. 01:00,레바논,0,2,0,-2
12.01. 22:30,예멘,0,3,0,-3
12.01. 20:00,베트남,0,2,0,-2
12.01. 01:00,키르기스스탄,0,1,0,-1
11.01. 22:30,필리핀,0,3,0,-3
11.01. 20:00,팔레스타인,0,3,0,-3
11.01. 01:00,인도,0,2,0,-2
10.01. 22:30,요르단,2,0,2,2
10.01. 20:00,바레인,0,1,0,-1
10.01. 01:00,카타르,2,0,2,2
09.01. 22:30,우즈베키스탄 ,2,1,2,1
09.01. 20:00,일본,3,2,2,1
09.01. 01:00,사우디아라비아,4,0,2,4
08.01. 22:30,이라크,3,2,2,1
08.01. 01:00,이란,5,0,2,5
07.01. 22:30,대한민국,1,0,2,1
07.01. 20:00,중국,2,1,2,1
07.01. 01:00,시리아,0,0,1,0
06.01. 22:30,태국,1,4,0,-3
06.01. 20:00,호주,0,1,0,-1
06.01. 01:00,아랍에미리트,1,1,1,0
18.01. 01:00,북한,1,4,0,-3
18.01. 01:00,카타르,2,0,2,2
17.01. 22:30,투르크메니스탄,1,3,0,-2
17.01. 22:30,우즈베키스탄,1,2,0,-1
17.01. 01:00,예멘,0,2,0,-2
17.01. 01:00,이라크,0,0,1,0
16.01. 22:30,중국,0,2,0,-2
16.01. 22:30,필리핀,1,3,0,-2
15.01. 22:30,요르단,0,0,1,0
15.01. 22:30,시리아,2,3,0,-1
15.01. 01:00,태국,1,1,1,0
15.01. 01:00,바레인,1,0,2,1
14.01. 01:00,우즈베키스탄,4,0,2,4
13.01. 22:30,일본,1,0,2,1
13.01. 20:00,카타르,6,0,2,6
13.01. 01:00,사우디아라비아,2,0,2,2
12.01. 22:30,이라크,3,0,2,3
12.01. 20:00,이란,2,0,2,2
12.01. 01:00,대한민국,1,0,2,1
11.01. 22:30,중국,3,0,2,3
11.01. 20:00,호주,3,0,2,3
11.01. 01:00,아랍에미리트,2,0,2,2
10.01. 22:30,시리아,0,2,0,-2
10.01. 20:00,태국,1,0,2,1
10.01. 01:00,레바논,0,2,0,-2
09.01. 22:30,오만,1,2,0,-1
09.01. 20:00,투르크메니스탄,2,3,0,-1
09.01. 01:00,북한 ,0,4,0,-4
08.01. 22:30,베트남,2,3,0,-1
08.01. 01:00,예멘,0,5,0,-5
07.01. 22:30,필리핀,0,1,0,-1
07.01. 20:00,키르기스스탄,1,2,0,-1
07.01. 01:00,팔레스타인 ,0,0,1,0
06.01. 22:30,인도,4,1,2,3
06.01. 20:00,요르단,1,0,2,1
06.01. 01:00,바레인,1,1,1,0
