,gameday,team,shoot,foul,possession,weather,temp2,rank,salary
0,"['07-Jan-11', '19:15']",카타르,4,15,45,4,20,92,11295
1,"['16-Jan-11', '19:15']",카타르,6,23,43,4,24,92,11295
2,"['12-Jan-11', '19:15']",카타르,4,16,51,1,21,92,11295
3,"['21-Jan-11', '16:25']",카타르,7,18,41,1,17,92,11295
4,"['08-Jan-11', '16:15']",쿠웨이트,2,17,51,1,23,96,10350
5,"['12-Jan-11', '16:15']",쿠웨이트,3,14,48,1,21,96,10350
6,"['16-Jan-11', '19:15']",쿠웨이트,1,16,57,4,24,96,10350
7,"['09-Jan-11', '16:15']",일본,7,13,68,2,17,17,4180995
8,"['21-Jan-11', '16:25']",일본,6,17,59,1,17,17,4180995
9,"['25-Jan-11', '16:25']",일본,8,35,57,4,17,17,4180995
10,"['13-Jan-11', '19:15']",일본,5,19,59,4,19,17,4180995
11,"['17-Jan-11', '16:15']",일본,9,23,52,4,20,17,4180995
12,"['29-Jan-11', '18:00']",일본,3,14,55,4,20,17,4180995
13,"['09-Jan-11', '19:15']",사우디아라비아,3,13,55,1,24,98,577598
14,"['17-Jan-11', '16:15']",사우디아라비아,3,7,48,4,20,98,577598
15,"['13-Jan-11', '16:15']",사우디아라비아,4,19,53,4,19,98,577598
16,"['10-Jan-11', '16:15']",인도,2,10,35,4,21,160,1817
17,"['14-Jan-11', '19:15']",인도,6,11,38,4,15,160,1817
18,"['18-Jan-11', '16:15']",인도,4,17,35,3,19,160,1817
19,"['10-Jan-11', '19:15']",한국,5,17,62,1,24,31,2308955
20,"['18-Jan-11', '16:15']",한국,20,9,65,3,19,31,2308955
21,"['14-Jan-11', '16:15']",한국,7,16,55,4,15,31,2308955
22,"['22-Jan-11', '16:25']",한국,3,29,50,1,20,31,2308955
23,"['25-Jan-11', '16:25']",한국,7,24,43,4,17,31,2308955
24,"['28-Jan-11', '18:00']",한국,4,10,43,1,22,31,2308955
25,"['11-Jan-11', '16:15']",북한,0,21,52,4,18,124,233211
26,"['15-Jan-11', '16:15']",북한,4,22,51,1,23,124,233211
27,"['19-Jan-11', '19:15']",북한,4,15,52,3,18,124,233211
28,"['11-Jan-11', '19:15']",이라크,3,25,39,4,21,91,6118
29,"['19-Jan-11', '19:15']",이라크,5,18,48,3,18,91,6118
30,"['15-Jan-11', '19:15']",이라크,4,24,56,1,23,91,6118
31,"['22-Jan-11', '16:25']",이라크,3,17,45,1,20,91,6118
32,"['12-Jan-11', '16:15']",우즈베키스탄,2,27,52,1,21,73,187874
33,"['21-Jan-11', '19:25']",우즈베키스탄,5,11,65,1,17,73,187874
34,"['25-Jan-11', '19:25']",우즈베키스탄,3,9,67,4,21,73,187874
35,"['28-Jan-11', '18:00']",우즈베키스탄,5,15,57,1,22,73,187874
36,"['07-Jan-11', '19:15']",우즈베키스탄,7,13,55,4,20,73,187874
37,"['16-Jan-11', '19:15']",우즈베키스탄,7,20,65,4,24,73,187874
38,"['12-Jan-11', '19:15']",중국,5,15,49,1,21,70,143168
39,"['16-Jan-11', '19:15']",중국,7,17,35,4,24,70,143168
40,"['08-Jan-11', '16:15']",중국,6,23,49,1,23,70,143168
41,"['13-Jan-11', '16:15']",요르단,3,17,47,4,19,81,4410
42,"['17-Jan-11', '16:15']",요르단,1,17,38,4,20,81,4410
43,"['09-Jan-11', '16:15']",요르단,2,14,32,2,17,81,4410
44,"['21-Jan-11', '19:25']",요르단,5,13,35,1,17,81,4410
45,"['13-Jan-11', '19:15']",시리아,4,20,41,4,19,106,138091
46,"['09-Jan-11', '19:15']",시리아,3,17,45,1,24,106,138091
47,"['17-Jan-11', '16:15']",시리아,7,19,62,4,20,106,138091
48,"['14-Jan-11', '16:15']",오스트레일리아,4,14,45,4,15,20,4910670
49,"['18-Jan-11', '16:15']",오스트레일리아,5,18,46,1,19,20,4910670
50,"['22-Jan-11', '16:25']",오스트레일리아,10,28,55,1,20,20,4910670
51,"['29-Jan-11', '18:00']",오스트레일리아,8,22,45,4,20,20,4910670
52,"['10-Jan-11', '16:15']",오스트레일리아,9,12,65,4,21,20,4910670
53,"['25-Jan-11', '19:25']",오스트레일리아,14,13,33,4,21,20,4910670
54,"['14-Jan-11', '19:15']",바레인,9,15,62,4,15,101,125236
55,"['10-Jan-11', '19:15']",바레인,6,19,38,1,24,101,125236
56,"['18-Jan-11', '16:15']",바레인,4,10,54,1,19,101,125236
57,"['15-Jan-11', '16:15']",이란,2,26,49,1,23,42,1556555
58,"['22-Jan-11', '16:25']",이란,2,27,50,1,20,42,1556555
59,"['11-Jan-11', '19:15']",이란,6,19,61,4,21,42,1556555
60,"['19-Jan-11', '19:15']",이란,3,18,50,3,18,42,1556555
61,"['15-Jan-11', '19:15']",아랍에미리트,4,7,44,1,23,113,7380
62,"['19-Jan-11', '19:15']",아랍에미리트,3,18,50,3,18,113,7380
63,"['11-Jan-11', '16:15']",아랍에미리트,5,11,48,4,18,113,7380
