0,1,2,3
30.01. 00:00,호주,일본 ,"0 : 1"
29.01. 00:00,우즈베키스탄,대한민국 ,2 : 3
26.01. 01:25,우즈베키스탄,호주 ,0 : 6
25.01. 22:25,일본 ,대한민국,"3 : 2"
23.01. 01:25,이란,대한민국 ,"0 : 1"
22.01. 22:25,호주 ,이라크,"1 : 0"
22.01. 01:25,우즈베키스탄 ,요르단,2 : 1
21.01. 22:25,일본 ,카타르,3 : 2
20.01. 01:15,아랍에미리트,이란,0 : 3
20.01. 01:15,이라크,북한,1 : 0
18.01. 22:15,대한민국,인도,4 : 1
18.01. 22:15,호주,바레인,1 : 0
17.01. 22:15,사우디아라비아,일본,0 : 5
17.01. 22:15,요르단,시리아,2 : 1
17.01. 01:15,중국,우즈베키스탄,2 : 2
17.01. 01:15,카타르,쿠웨이트,3 : 0
16.01. 01:15,아랍에미리트,이라크,0 : 1
15.01. 22:15,이란,북한,1 : 0
15.01. 01:15,바레인,인도,5 : 2
14.01. 22:15,호주,대한민국,1 : 1
14.01. 01:15,시리아,일본,1 : 2
13.01. 22:15,요르단,사우디아라비아,1 : 0
13.01. 01:15,중국,카타르,0 : 2
12.01. 22:15,우즈베키스탄,쿠웨이트,2 : 1
12.01. 01:15,이라크,이란,1 : 2
11.01. 22:15,북한,아랍에미리트,0 : 0
11.01. 01:15,대한민국,바레인,2 : 1
10.01. 22:15,인도,호주,0 : 4
10.01. 01:15,사우디아라비아,시리아,1 : 2
09.01. 22:15,일본,요르단,1 : 1
08.01. 22:15,쿠웨이트,중국,0 : 2
08.01. 01:15,카타르,우즈베키스탄,0 : 2
04.03. 01:00,요르단,싱가포르,2 : 1
04.03. 01:00,이란,태국,1 : 0
04.03. 00:30,오만,쿠웨이트,0 : 0
03.03. 22:00,우즈베키스탄,아랍에미리트,0 : 1
03.03. 21:30,시리아,레바논,4 : 0
03.03. 21:00,홍콩,예멘,0 : 0
03.03. 19:00,일본,바레인,2 : 0
03.03. 18:00,호주,인도네시아,1 : 0
20.01. 22:15,예멘,바레인,3 : 0
17.01. 21:00,베트남,중국,1 : 2
07.01. 00:00,바레인,홍콩,4 : 0
07.01. 00:00,아랍에미리트,말레이시아,1 : 0
06.01. 23:30,쿠웨이트,호주,2 : 2
06.01. 22:15,예멘,일본,2 : 3
06.01. 21:15,레바논,베트남,1 : 1
06.01. 21:00,태국,요르단,0 : 0
06.01. 20:30,싱가포르,이란,1 : 3
06.01. 20:30,인도네시아,오만,1 : 2
06.01. 20:30,중국,시리아,0 : 0
23.11. 01:00,요르단,이란,1 : 0
22.11. 21:05,중국,레바논,1 : 0
18.11. 23:45,바레인,예멘,4 : 0
18.11. 21:00,시리아,베트남,0 : 0
18.11. 20:30,인도네시아,쿠웨이트,1 : 1
18.11. 20:30,태국,싱가포르,0 : 1
18.11. 19:30,홍콩,일본,0 : 4
18.11. 18:30,말레이시아,우즈베키스탄,1 : 3
15.11. 00:40,쿠웨이트,인도네시아,2 : 1
15.11. 00:00,레바논,중국,0 : 2
14.11. 23:30,이란,요르단,1 : 0
14.11. 23:00,오만,호주,1 : 2
14.11. 21:00,베트남,시리아,0 : 1
14.11. 20:30,싱가포르,태국,1 : 3
14.11. 20:00,우즈베키스탄,말레이시아,3 : 1
14.10. 17:30,호주,오만,1 : 0
08.10. 19:20,일본,홍콩,6 : 0
05.03. 18:00,호주,쿠웨이트,0 : 1
29.01. 00:15,바레인,일본,1 : 0
29.01. 00:00,레바논,시리아,0 : 2
29.01. 00:00,아랍에미리트,우즈베키스탄,0 : 1
29.01. 00:00,쿠웨이트,오만,0 : 1
28.01. 22:15,예멘,홍콩,1 : 0
28.01. 21:30,인도네시아,호주,0 : 0
28.01. 20:30,싱가포르,요르단,2 : 1
28.01. 20:30,태국,이란,0 : 0
21.01. 21:45,말레이시아,아랍에미리트,0 : 5
21.01. 20:35,중국,베트남,6 : 1
21.01. 20:30,홍콩,바레인,1 : 3
20.01. 19:20,일본,예멘,2 : 1
20.01. 00:30,오만,인도네시아,0 : 0
15.01. 00:00,요르단,태국,0 : 0
14.01. 21:00,베트남,레바논,3 : 1
14.01. 21:00,시리아,중국,3 : 2
14.01. 20:30,이란,싱가포르,6 : 0
23.04. 20:00,몰디브,레바논 ,1 : 2
10.04. 00:00,레바논,몰디브,4 : 0
