경기날짜,팀,팀1점수,팀2점수,승패,점수차
31.01. 18:00,대한민국,1,2,0,-1
30.01. 18:00,이라크 ,2,3,0,-1
27.01. 18:00,호주 ,2,0,2,2
26.01. 18:00,대한민국 ,2,0,2,2
23.01. 18:30,일본,1,2,0,-1
23.01. 15:30,이란 ,3,4,0,-1
22.01. 19:30,중국,0,2,0,-2
22.01. 16:30,대한민국 ,2,0,2,2
20.01. 18:00,이라크,2,0,2,2
20.01. 18:00,일본,2,0,2,2
19.01. 18:00,이란,1,0,2,1
19.01. 18:00,카타르,1,2,0,-1
18.01. 18:00,우즈베키스탄,3,1,2,2
18.01. 18:00,중국,2,1,2,1
17.01. 18:00,오만,1,0,2,1
17.01. 18:00,호주,0,1,0,-1
16.01. 18:00,이라크,0,1,0,-1
16.01. 16:00,팔레스타인,1,5,0,-4
15.01. 18:00,카타르,0,1,0,-1
15.01. 16:00,바레인,1,2,0,-1
14.01. 18:00,중국,2,1,2,1
14.01. 16:00,북한 ,1,4,0,-3
13.01. 18:00,오만,0,4,0,-4
13.01. 16:00,쿠웨이트,0,1,0,-1
12.01. 18:00,요르단 ,0,1,0,-1
12.01. 16:00,일본,4,0,2,4
11.01. 18:00,이란,2,0,2,2
11.01. 16:00,아랍에미리트,4,1,2,3
10.01. 18:00,사우디아라비아,0,1,0,-1
10.01. 16:00,우즈베키스탄,1,0,2,1
10.01. 14:00,대한민국,1,0,2,1
09.01. 18:00,호주,4,1,2,3
06.03. 02:30,사우디아라비아,1,0,2,1
06.03. 00:25,카타르,0,0,1,0
05.03. 23:00,베트남,3,1,2,2
05.03. 23:00,예멘,1,2,0,-1
05.03. 23:00,요르단 ,2,1,2,1
05.03. 23:00,이라크,3,1,2,2
05.03. 23:00,태국,2,5,0,-3
05.03. 22:30,오만,3,1,2,2
05.03. 21:00,우즈베키스탄 ,1,1,1,0
03.03. 23:00,이란,3,2,2,1
04.02. 20:30,싱가포르 ,1,3,0,-2
31.01. 23:30,오만,0,0,1,0
20.11. 00:35,쿠웨이트,3,1,2,2
20.11. 00:30,레바논,1,4,0,-3
20.11. 00:30,아랍에미리트,5,0,2,5
19.11. 23:45,바레인,2,0,2,2
19.11. 21:45,말레이시아,0,1,0,-1
19.11. 21:00,인도네시아,0,2,0,-2
19.11. 21:00,홍콩 ,0,2,0,-2
19.11. 20:35,중국,0,0,1,0
19.11. 19:30,시리아,0,1,0,-1
16.11. 01:30,사우디아라비아,2,1,2,1
16.11. 00:35,쿠웨이트,0,0,1,0
16.11. 00:30,아랍에미리트,4,0,2,4
15.11. 23:45,바레인,1,0,2,1
15.11. 21:00,베트남 ,0,3,0,-3
15.11. 21:00,예멘 ,1,4,0,-3
15.11. 21:00,태국 ,0,3,0,-3
15.11. 20:35,중국,1,0,2,1
15.11. 19:30,시리아,4,0,2,4
16.10. 01:30,이라크,0,2,0,-2
16.10. 00:30,이란,2,1,2,1
16.10. 00:00,요르단,0,0,1,0
15.10. 23:30,레바논,1,1,1,0
15.10. 22:00,우즈베키스탄,3,1,2,2
15.10. 21:45,바레인,1,1,1,0
15.10. 21:00,인도네시아,1,1,1,0
15.10. 21:00,홍콩,0,4,0,-4
15.10. 20:30,싱가포르,2,1,2,1
14.10. 01:30,카타르,6,0,2,6
15.08. 23:30,시리아,1,1,1,0
14.08. 20:30,싱가포르,0,2,0,-2
27.03. 01:35,쿠웨이트,1,1,1,0
23.03. 21:00,인도네시아,1,2,0,-1
23.03. 00:45,바레인,1,0,2,1
23.03. 00:30,레바논,5,2,2,3
22.03. 22:45,아랍에미리트,2,1,2,1
22.03. 21:45,말레이시아,2,1,2,1
22.03. 21:00,홍콩,1,0,2,1
22.03. 20:35,중국,1,0,2,1
07.02. 02:15,사우디아라비아,2,1,2,1
07.02. 00:30,카타르,2,0,2,2
07.02. 00:15,예멘,0,2,0,-2
06.02. 23:00,요르단,4,0,2,4
06.02. 22:30,이라크,1,0,2,1
06.02. 22:15,오만,1,0,2,1
06.02. 21:00,이란,5,0,2,5
06.02. 21:00,태국,1,3,0,-2
06.02. 20:00,베트남,1,2,0,-1
06.02. 20:00,우즈베키스탄,0,0,1,0
31.01. 18:00,호주 ,1,2,2,1
30.01. 18:00,아랍에미리트 ,2,3,2,1
27.01. 18:00,아랍에미리트,2,0,0,-2
26.01. 18:00,이라크,2,0,0,-2
23.01. 18:30,아랍에미리트 ,1,2,2,1
23.01. 15:30,이라크 ,3,4,2,1
22.01. 19:30,호주 ,0,2,2,2
22.01. 16:30,우즈베키스탄,2,0,0,-2
20.01. 18:00,팔레스타인,2,0,0,-2
20.01. 18:00,요르단,2,0,0,-2
19.01. 18:00,아랍에미리트,1,0,0,-1
19.01. 18:00,바레인,1,2,2,1
18.01. 18:00,사우디아라비아,3,1,0,-2
18.01. 18:00,북한,2,1,0,-1
