랭킹,국가,점수
1,벨기에,1727
2,프랑스,1726
3,브라질,1676
4,크로아티아,1634
5,잉글랜드,1631
6,포르투갈,1614
7,우루과이,1609
8,스위스,1599
9,스페인,1591
10,덴마크,1589
11,아르헨티나,1582
12,콜롬비아,1575
13,칠레,1565
14,스웨덴,1560
14,네덜란드,1560
16,독일,1558
17,멕시코,1540
18,이탈리아,1539
19,웨일스,1525
20,폴란드,1518
20,페루,1518
22,오스트리아,1509
23,세네갈,1505
24,루마니아,1501
25,미국,1497
26,튀니지,1493
27,슬로바키아,1483
28,우크라이나,1482
29,세르비아,1481
29,이란,1481
31,베네수엘라,1478
32,파라과이,1476
33,아일랜드,1474
34,보스니아 헤르체고비나,1472
35,북아일랜드,1465
36,코스타리카,1464
37,아이슬란드,1452
38,스코틀랜드,1446
39,터키,1443
40,모로코,1440
41,호주,1436
42,체코,1435
43,그리스,1428
44,나이지리아,1427
44,몬테네그로,1427
46,불가리아,1425
46,노르웨이,1425
48,러시아,1424
49,콩고민주공화국,1420
50,일본,1414
51,헝가리,1412
51,가나,1412
53,한국,1405
54,자메이카,1404
55,카메룬,1394
56,이집트,1393
57,에콰도르,1382
58,핀란드,1378
59,볼리비아,1374
60,알바니아,1372
61,부르키나파소,1371
62,슬로베니아,1369
62,온두라스,1369
64,말리,1363
65,코트디부아르,1356
66,기니,1354
67,알제리,1347
68,마케도니아,1343
69,사우디아라비아,1335
70,엘살바도르,1327
71,파나마,1326
72,남아공,1325
72,카보베르데,1325
74,시리아,1322
75,우간다,1320
76,벨라루스,1317
76,중국,1317
78,캐나다,1314
79,아랍에미리트,1309
80,퀴라소,1306
81,레바논,1296
82,오만,1295
83,잠비아,1292
84,콩고공화국,1280
85,가봉,1277
86,룩셈부르크,1276
86,키프로스,1276
88,이라크,1271
89,조지아,1269
90,이스라엘,1265
91,키르기스스탄,1264
92,트리니다드 토바고,1260
93,카타르,1258
94,베냉,1257
95,우즈베키스탄,1251
96,에스토니아,1242
97,인도,1240
98,페로 제도,1238
99,팔레스타인,1236
100,베트남,1229
101,모리타니,1222
101,아르메니아,1222
103,아이티,1219
104,리비아,1217
105,케냐,1210
106,마다가스카르,1209
107,아제르바이잔,1206
108,니제르,1205
109,북한,1196
109,요르단,1196
111,나미비아,1191
112,중앙아프리카,1180
113,바레인,1178
114,짐바브웨,1175
115,시에라리온,1172
116,필리핀,1171
117,모잠비크,1167
118,태국,1160
119,카자흐스탄,1159
120,타지키스탄,1158
120,기니비사우,1158
122,뉴질랜드,1157
123,토고,1136
124,중국 대북,1134
125,앙골라,1131
126,앤티가 바부다,1126
127,수단,1120
127,투르크메니스탄,1120
129,니카라과,1119
130,말라위,1115
131,코소보,1113
132,라트비아,1112
133,안도라,1111
133,리투아니아,1111
135,예멘,1106
136,세인트키츠 네비스,1105
137,르완다,1094
138,탄자니아,1087
139,미얀마,1085
139,부룬디,1085
141,중국 홍콩,1078
141,에스와티니,1078
143,코모로,1076
144,솔로몬 제도,1073
145,보츠와나,1071
146,레소토,1069
147,아프가니스탄,1068
148,적도 기니,1063
149,과테말라,1061
150,라이베리아,1051
151,에티오피아,1049
152,몰디브,1046
153,수리남,1037
154,도미니카 공화국,1036
154,뉴칼레도니아,1036
156,모리셔스,1022
157,타히티,1020
158,쿠웨이트,1018
159,인도네시아,1003
160,벨리즈,1002
161,네팔,1001
162,바베이도스,998
163,바누아투,996
164,남수단,994
165,싱가포르,991
166,감비아,986
167,말레이시아,985
168,파푸아뉴기니,984
169,피지,981
170,몰도바,979
171,세인트루시아,976
172,캄보디아,970
173,그레나다,968
174,쿠바,963
175,차드,956
176,버뮤다,952
177,가이아나,951
178,도미니카 연방,950
179,푸에르토리코,948
180,세인트빈센트 그레나딘,946
181,리히텐슈타인,937
182,몰타,926
183,중국 마카오,925
184,라오스,923
185,상투메 프린시페,920
186,부탄,917
187,아루바,916
188,몽골,915
189,세이셸,911
190,쿡 제도,908
190,아메리칸 사모아,908
192,괌,907
192,방글라데시,907
194,지브롤터,905
195,브루나이,903
196,동티모르,900
197,사모아,896
197,지부티,896
199,파키스탄,888
200,몬트세랫,887
201,스리랑카,886
202,미국령 버진아일랜드,881
203,케이맨 제도,874
204,통가,868
204,에리트레아,868
204,소말리아,868
207,영국령 버진아일랜드,867
208,터크스 케이커스 제도,864
208,앵귈라,864
210,바하마,858
211,산마리노,854
