rank,title,year
1,Black Panther ,2018
2,Mission: Impossible - Fallout ,2018
3,BlacKkKlansman ,2018
4,Spider-Man: Into the Spider-Verse ,2018
5,A Star Is Born ,2018
6,Roma ,2018
7,A Quiet Place ,2018
8,Paddington 2 ,2018
9,Eighth Grade ,2018
10,The Favourite ,2018
11,Can You Ever Forgive Me? ,2018
12,Call Me by Your Name ,2018
13,Leave No Trace ,2018
14,Incredibles 2 ,2018
15,Won't You Be My Neighbor? ,2018
16,Widows ,2018
17,Shoplifters (Manbiki kazoku) ,2018
18,The Death of Stalin ,2018
19,First Man ,2018
20,The Hate U Give ,2018
21,Sorry to Bother You ,2018
22,Ant-Man and the Wasp ,2018
23,Crazy Rich Asians ,2018
24,Phantom Thread ,2018
25,"I, Tonya ",2018
26,The Post ,2018
27,Isle of Dogs ,2018
28,Avengers: Infinity War ,2018
29,The Rider ,2018
30,Hereditary ,2018
31,McQueen ,2018
32,A Fantastic Woman (Una mujer fantástica) ,2018
33,Summer 1993 (Estiu 1993) ,2018
34,Three Identical Strangers ,2018
35,Free Solo ,2018
36,The Old Man & the Gun ,2018
37,First Reformed ,2018
38,Bumblebee ,2018
39,Minding the Gap ,2018
40,The Guilty (Den skyldige) ,2018
41,Wildlife ,2018
42,Shirkers ,2018
43,Cold War (Zimna wojna) ,2018
44,Tea With the Dames (Nothing Like a Dame) ,2018
45,The Tale ,2018
46,Pick of the Litter ,2018
47,Oh Lucy! ,2018
48,Border (Gräns) ,2018
49,Night Comes On ,2018
50,Hannah Gadsby: Nanette ,2018
51,Loveless (Nelyubov) ,2018
52,"Love, Simon ",2018
53,Searching ,2018
54,Mandy ,2018
55,RBG ,2018
56,Annihilation ,2018
57,Burning (Beoning) ,2018
58,Science Fair ,2018
59,The Ballad of Buster Scruggs ,2018
60,Zama ,2018
61,In Between ,2018
62,You Were Never Really Here ,2018
63,Foxtrot ,2018
64,Deadpool 2 ,2018
65,Ralph Breaks the Internet ,2018
66,I Am Not a Witch ,2018
67,Blindspotting ,2018
68,The Cakemaker ,2018
69,On Her Shoulders ,2018
70,Ryuichi Sakamoto: Coda ,2018
71,Leaning Into the Wind ,2018
72,Marlina the Murderer in Four Acts ,2018
73,"Hale County This Morning, This Evening ",2018
74,Filmworker ,2018
75,Western ,2018
76,Sweet Country ,2018
77,Custody (Jusqu'à la garde) ,2018
78,Blaze ,2018
79,Hearts Beat Loud ,2018
80,To All the Boys I've Loved Before ,2018
81,Lean on Pete ,2018
82,The Endless ,2018
83,Beast ,2018
84,Support the Girls ,2018
85,Bisbee '17 ,2018
86,Robin Williams: Come Inside My Mind ,2018
87,CAM ,2018
88,Revenge ,2018
89,Journey's End ,2018
90,American Animals ,2018
91,Private Life ,2018
92,Tully ,2018
93,Dark Money ,2018
94,In Fabric ,2018
95,Creed II ,2018
96,Teen Titans Go! To the Movies ,2018
97,The Guardians (Les Gardiennes) ,2018
98,Colette ,2018
99,24 Frames ,2018
100,A Simple Favor ,2018
