age,cap,goal,name,club
22,13,0,Mathew Ryan,Club Brugge
27,12,0,Ivan Franjic,Torpedo Moscow
23,13,0,Jason Davidson,West Bromwich Albion
35,77,36,Tim Cahill,New York Red Bulls
29,33,2,Mark Milligan,Melbourne Victory
26,21,0,Matthew Spiranovic,Western Sydney Wanderers
23,16,1,Mathew Leckie,Ingolstadt 04
25,3,0,Chris Herd,Aston Villa
23,5,1,Tomi Juric,Western Sydney Wanderers
26,32,3,Robbie Kruse,Bayer Leverkusen
23,21,1,Tommy Oar,FC Utrecht
26,5,0,Mitchell Langerak,Borussia Dortmund
24,7,2,Aziz Behich,Bursaspor
26,16,1,James Troisi,Zulte Waregem
30,52,6,Mile Jedinak,Crystal Palace
26,7,0,Nathan Burns,Wellington Phoenix
32,50,1,Matt McKay,Brisbane Roar
33,8,0,Eugene Galekovic,Adelaide United
21,3,0,Terry Antonis,Sydney FC
23,4,0,Trent Sainsbury,PEC Zwolle
22,5,0,Massimo Luongo,Swindon Town
30,11,0,Alex Wilkinson,Jeonbuk Hyundai Motors
34,81,13,Mark Bresciano,Al-Gharafa
30,64,0,Jung Sung-ryong,Suwon Bluewings
29,13,0,Kim Chang-soo,Kashiwa Reysol
22,9,0,Kim Jin-su,1899 Hoffenheim
26,4,0,Kim Ju-young,Shanghai SIPG
33,37,5,Kwak Tae-hwi,Al-Hilal
27,17,0,Park Joo-ho,Mainz 05
22,34,7,Son Heung-min,Bayer Leverkusen
24,9,1,Kim Min-woo,Sagan Tosu
25,10,0,Cho Young-cheol,Qatar SC
23,16,1,Nam Tae-hee,Lekhwiya
29,70,19,Lee Keun-ho,El-Jaish
24,4,1,Han Kyo-won,Jeonbuk Hyundai Motors
25,42,13,Koo Ja-cheol,Mainz 05
24,18,0,Han Kook-young,Qatar SC
24,12,1,Lee Myung-joo,Al-Ain
25,66,5,Ki Sung-yueng,Swansea City
26,64,6,Lee Chung-yong,Bolton Wanderers
23,0,0,Lee Jung-hyup,Sangju Sangmu
24,29,1,Kim Young-gwon,Guangzhou Evergrande
23,7,0,Jang Hyun-soo,Guangzhou R&F
24,7,0,Kim Seung-gyu,Ulsan Hyundai
34,70,4,Cha Du-ri,FC Seoul
27,4,0,Kim Jin-hyeon,Cerezo Osaka
33,100,0,Ali Al-Habsi,Wigan Athletic
24,35,2,Mohammed Al-Musalami,Fanja
25,27,2,Jaber Al-Owaisi,Al-Shabab
24,33,0,Ali Al-Jabri,Fanja
25,7,0,Nasser Al-Shimli,Al-Oruba
22,42,2,Raed Ibrahim Saleh,Fanja
26,17,2,Mohammed Al-Siyabi,Al-Shabab
27,47,4,Eid Al-Farsi,Al-Oruba
25,38,12,Abdulaziz Al-Muqbali,Fanja
25,58,8,Qasim Said,Al-Nasr
24,1,0,Amer Said Al-Shatri,Dhofar
29,108,12,Ahmed Mubarak Al-Mahaijri,Al-Oruba
26,38,1,Abdul Salam Al-Mukhaini,Al-Oruba
29,33,3,Yaqoob Abdul-Karim,Saham
22,17,0,Ali Salim Al-Nahar,Dhofar
23,11,0,Ali Al-Busaidi,Al-Nahda
34,113,6,Hassan Mudhafar Al-Gheilani,Al-Oruba
21,13,0,Mazin Al-Kasbi,Fanja
29,0,0,Ahmed Al-Mukhaini,Al-Oruba
30,115,36,Amad Al-Hosni,Saham
23,1,0,Mohsin Al-Khaldi,Saham
