age,cap,goal,name,club,nation
22,13,0,Mathew Ryan,Club Brugge,Australia
27,12,0,Ivan Franjic,Torpedo Moscow,Australia
23,13,0,Jason Davidson,West Bromwich Albion,Australia
35,77,36,Tim Cahill,New York Red Bulls,Australia
29,33,2,Mark Milligan,Melbourne Victory,Australia
26,21,0,Matthew Spiranovic,Western Sydney Wanderers,Australia
23,16,1,Mathew Leckie,Ingolstadt 04,Australia
25,3,0,Chris Herd,Aston Villa,Australia
23,5,1,Tomi Juric,Western Sydney Wanderers,Australia
26,32,3,Robbie Kruse,Bayer Leverkusen,Australia
23,21,1,Tommy Oar,FC Utrecht,Australia
26,5,0,Mitchell Langerak,Borussia Dortmund,Australia
24,7,2,Aziz Behich,Bursaspor,Australia
26,16,1,James Troisi,Zulte Waregem,Australia
30,52,6,Mile Jedinak,Crystal Palace,Australia
26,7,0,Nathan Burns,Wellington Phoenix,Australia
32,50,1,Matt McKay,Brisbane Roar,Australia
33,8,0,Eugene Galekovic,Adelaide United,Australia
21,3,0,Terry Antonis,Sydney FC,Australia
23,4,0,Trent Sainsbury,PEC Zwolle,Australia
22,5,0,Massimo Luongo,Swindon Town,Australia
30,11,0,Alex Wilkinson,Jeonbuk Hyundai Motors,Australia
34,81,13,Mark Bresciano,Al-Gharafa,Australia
30,64,0,Jung Sung-ryong,Suwon Bluewings,south_korea
29,13,0,Kim Chang-soo,Kashiwa Reysol,south_korea
22,9,0,Kim Jin-su,1899 Hoffenheim,south_korea
26,4,0,Kim Ju-young,Shanghai SIPG,south_korea
33,37,5,Kwak Tae-hwi,Al-Hilal,south_korea
27,17,0,Park Joo-ho,Mainz 05,south_korea
22,34,7,Son Heung-min,Bayer Leverkusen,south_korea
24,9,1,Kim Min-woo,Sagan Tosu,south_korea
25,10,0,Cho Young-cheol,Qatar SC,south_korea
23,16,1,Nam Tae-hee,Lekhwiya,south_korea
29,70,19,Lee Keun-ho,El-Jaish,south_korea
24,4,1,Han Kyo-won,Jeonbuk Hyundai Motors,south_korea
25,42,13,Koo Ja-cheol,Mainz 05,south_korea
24,18,0,Han Kook-young,Qatar SC,south_korea
24,12,1,Lee Myung-joo,Al-Ain,south_korea
25,66,5,Ki Sung-yueng,Swansea City,south_korea
26,64,6,Lee Chung-yong,Bolton Wanderers,south_korea
23,0,0,Lee Jung-hyup,Sangju Sangmu,south_korea
24,29,1,Kim Young-gwon,Guangzhou Evergrande,south_korea
