경기날짜,팀,승패,점수차,랭킹,salary
01.02. 23:00,일본,0,-2,3,6934420
29.01. 23:00,카타르,2,4,13,147021
28.01. 23:00,이란,0,-3,1,4530110
26.01. 01:00,아랍에미리트,2,1,8,606217
25.01. 22:00,대한민국,0,-1,4,6038313
25.01. 01:00,중국,0,-3,7,326027
24.01. 22:00,베트남,0,-1,17,1198
23.01. 01:00,카타르,2,1,13,147021
22.01. 22:00,대한민국,2,1,4,6038313
22.01. 02:00,아랍에미리트,2,1,8,606217
21.01. 23:00,호주,2,1,2,2710055
21.01. 20:00,일본,2,1,3,6934420
21.01. 02:00,이란,2,2,1,4530110
20.01. 23:00,태국,0,-1,21,140402
20.01. 20:00,요르단,0,-1,18,261933
01.02. 23:00,카타르,2,2,13,147021
29.01. 23:00,아랍에미리트,0,-4,8,606217
28.01. 23:00,일본,2,3,3,6934420
26.01. 01:00,호주,0,-1,2,2710055
25.01. 22:00,카타르,2,1,13,147021
25.01. 01:00,이란,2,3,1,4530110
24.01. 22:00,일본,2,1,3,6934420
23.01. 01:00,이라크,0,-1,11,213108
22.01. 22:00,바레인,0,-1,19,3933
22.01. 02:00,키르기스스탄,0,-1,12,278006
21.01. 23:00,우즈베키스탄,0,-1,14,918900
21.01. 20:00,사우디아라비아,0,-1,5,794071
21.01. 02:00,오만,0,-2,10,4395
20.01. 23:00,중국,2,1,7,326027
20.01. 20:00,베트남,2,1,17,1198
18.01. 01:00,레바논,2,3,9,4683
18.01. 01:00,사우디아라비아,0,-2,5,794071
17.01. 22:30,오만,2,2,10,4395
17.01. 22:30,일본,2,1,3,6934420
17.01. 01:00,베트남,2,2,17,1198
17.01. 01:00,이란,1,0,1,4530110
16.01. 22:30,대한민국,2,2,4,6038313
16.01. 22:30,키르기스스탄,2,2,12,278006
15.01. 22:30,팔레스타인,1,0,16,2887
15.01. 22:30,호주,2,1,2,2710055
15.01. 01:00,아랍에미리트,1,0,8,606217
15.01. 01:00,인도,0,-1,15,2072
14.01. 01:00,투르크메니스탄,0,-4,22,4141
13.01. 22:30,오만,0,-1,10,4395
13.01. 20:00,북한,0,-6,18,924076
13.01. 01:00,레바논,0,-2,9,4683
12.01. 22:30,예멘,0,-3,23,1726
12.01. 20:00,베트남,0,-2,17,1198
12.01. 01:00,키르기스스탄,0,-1,12,278006
11.01. 22:30,필리핀,0,-3,20,4840
11.01. 20:00,팔레스타인,0,-3,16,2887
11.01. 01:00,인도,0,-2,15,2072
10.01. 22:30,요르단,2,2,18,261933
10.01. 20:00,바레인,0,-1,19,3933
10.01. 01:00,카타르,2,2,13,147021
09.01. 22:30,우즈베키스탄,2,1,14,918900
09.01. 20:00,일본,2,1,3,6934420
09.01. 01:00,사우디아라비아,2,4,5,794071
08.01. 22:30,이라크,2,1,11,213108
08.01. 01:00,이란,2,5,1,4530110
07.01. 22:30,대한민국,2,1,4,6038313
07.01. 20:00,중국,2,1,7,326027
07.01. 01:00,시리아,1,0,6,1581188
06.01. 22:30,태국,0,-3,21,140402
06.01. 20:00,호주,0,-1,2,2710055
06.01. 01:00,아랍에미리트,1,0,8,606217
18.01. 01:00,북한,0,-3,18,924076
18.01. 01:00,카타르,2,2,13,147021
17.01. 22:30,투르크메니스탄,0,-2,22,4141
17.01. 22:30,우즈베키스탄,0,-1,14,918900
17.01. 01:00,예멘,0,-2,23,1726
17.01. 01:00,이라크,1,0,11,213108
16.01. 22:30,중국,0,-2,7,326027
16.01. 22:30,필리핀,0,-2,20,4840
15.01. 22:30,요르단,1,0,18,261933
15.01. 22:30,시리아,0,-1,6,1581188
15.01. 01:00,태국,1,0,21,140402
15.01. 01:00,바레인,2,1,19,3933
14.01. 01:00,우즈베키스탄,2,4,14,918900
13.01. 22:30,일본,2,1,3,6934420
13.01. 20:00,카타르,2,6,13,147021
13.01. 01:00,사우디아라비아,2,2,5,794071
12.01. 22:30,이라크,2,3,11,213108
12.01. 20:00,이란,2,2,1,4530110
12.01. 01:00,대한민국,2,1,4,6038313
11.01. 22:30,중국,2,3,7,326027
11.01. 20:00,호주,2,3,2,2710055
11.01. 01:00,아랍에미리트,2,2,8,606217
10.01. 22:30,시리아,0,-2,6,1581188
10.01. 20:00,태국,2,1,21,140402
10.01. 01:00,레바논,0,-2,9,4683
09.01. 22:30,오만,0,-1,10,4395
09.01. 20:00,투르크메니스탄,0,-1,22,4141
09.01. 01:00,북한,0,-4,18,924076
08.01. 22:30,베트남,0,-1,17,1198
08.01. 01:00,예멘,0,-5,23,1726
07.01. 22:30,필리핀,0,-1,20,4840
07.01. 20:00,키르기스스탄,0,-1,12,278006
07.01. 01:00,팔레스타인,1,0,16,2887
06.01. 22:30,인도,2,3,15,2072
06.01. 20:00,요르단,2,1,18,261933
06.01. 01:00,바레인,1,0,19,3933
