age,cap,name,club,nation,height,salary
25,17,Qasem Burhan,Al-Gharrafa,qatar,192,495
24,9,Hamid Ismail,Al-Rayyan,qatar,169,495
24,10,Mohammed Kasola,Al-Sadd,qatar,181,495
26,6,Lawrence Quaye,Al-Gharrafa,qatar,179,495
20,5,Hassan Al Haydos,Al-Sadd,qatar,174,495
24,56,Bilal Mohammed,Al-Gharrafa,qatar,183,495
29,38,Wesam Rizik,Al-Sadd,qatar,183,495
24,31,Mesaad Al-Hamad,Al-Sadd,qatar,172,495
22,6,Jaralla Al-Marri,Al-Rayyan,qatar,179,495
26,15,Hussein Yasser,Al-Zamalek,qatar,170,720
31,22,Fábio César Montezine,Al-Rayyan,qatar,170,495
22,15,Yusef Ahmed,Al-Sadd,qatar,163,495
20,31,Ibrahim Majid,Al-Sadd,qatar,183,495
22,28,Khalfan Ibrahim,Al-Sadd,qatar,170,360
24,39,Talal Al-Bloushi,Al-Sadd,qatar,177,495
24,5,Mohamed Elsayed,Umm-Salal,qatar,175,495
22,0,Abdulaziz Al Sulaiti,Al-Arabi,qatar,180,495
27,45,Ibrahim Al-Ghanim,Al-Gharrafa,qatar,178,495
18,2,Khalid Muftah,Lekhwiya,qatar,171,495
22,26,Ali Afif,Al-Sadd,qatar,172,495
26,2,Mohammed Mubarak,Qatar SC,qatar,183,495
20,3,Saad Al Sheeb,Al-Sadd,qatar,184,495
27,46,Sebastián Soria,Qatar SC,qatar,186,315
26,9,Temur Juraev,Pakhtakor Tashkent,uzbekistan,185,225
32,29,Ulugbek Bakayev,Tobol,uzbekistan,183,270
24,4,Shavkat Mullajanov,Olmaliq,uzbekistan,180,292
25,27,Anzur Ismailov,Bunyodkor,uzbekistan,190,135
24,15,Aziz Ibrahimov,Bohemians,uzbekistan,182,315
23,14,Sakhob Juraev,Bunyodkor,uzbekistan,174,180
25,26,Aziz Haydarov,Bunyodkor,uzbekistan,180,360
28,66,Server Djeparov,FC Seoul,uzbekistan,178,180000
23,33,Odil Ahmedov,Pakhtakor Tashkent,uzbekistan,180,315
25,5,Shavkat Salomov,Nasaf Qarshi,uzbekistan,174,90
25,22,Marat Bikmaev,Alania Vladikavkaz,uzbekistan,178,270
27,50,Ignatiy Nesterov,Bunyodkor,uzbekistan,182,900
27,7,Olim Navkarov,Qizilqum Zarafshon,uzbekistan,180,292
22,9,Stanislav Andreev,Pakhtakor Tashkent,uzbekistan,177,292
26,55,Alexander Geynrikh,Pakhtakor Tashkent,uzbekistan,183,765
32,52,Maksim Shatskikh,Arsenal Kyiv,uzbekistan,187,900
24,2,Sanjar Tursunov,Volga Nizhny Novgorod,uzbekistan,174,90
29,74,Timur Kapadze,Bunyodkor,uzbekistan,185,720
27,18,Jasur Hasanov,Lekhwiya,uzbekistan,174,23
20,1,Farrukh Nurliboev,Olmaliq,uzbekistan,180,292
27,1,Murod Zukhurov,Nasaf Qarshi,uzbekistan,188,23
33,45,Viktor Karpenko,Bunyodkor,uzbekistan,180,450
23,7,Vagiz Galiullin,Sibir Novosibirsk,uzbekistan,174,675
23,0,Khalid Al-Rashidi,Al-Arabi,kuwait,185,450
27,46,Yaqoub Al Taher,Al-Ettifaq[1],kuwait,172,450
25,26,Fahad Awadh,Al-Kuwait,kuwait,181,450
26,36,Hussain Fadel,Qadsia,kuwait,182,450
26,26,Ahmad Ajab,Qadsia,kuwait,182,450
22,14,Amer Al Fadhel,Qadsia,kuwait,177,450
22,16,Fahad Al Enezi,Kazma,kuwait,175,450
28,31,Saleh Al Sheikh,Qadsia,kuwait,175,450
24,12,Ali Maqseed,Al-Arabi,kuwait,165,450
27,30,Khaled Khalaf,Al-Arabi,kuwait,180,450
23,21,Fahad Al Ansari,Qadsia,kuwait,190,450
22,5,Abdullah Al Shemali,Al-Shabab[1],kuwait,177,450
27,68,Musaed Neda,Qadsia,kuwait,180,450
23,21,Talal Al Amer,Qadsia,kuwait,173,450
30,68,Waleed Ali,Al-Kuwait,kuwait,173,450
24,22,Hamad Al Enezi,Qadsia,kuwait,170,450
25,102,Bader Al-Mutwa,Qadsia,kuwait,175,450
29,48,Jarah Al Ateeqi,Al-Kuwait,kuwait,173,450
27,8,Ahmed Saad Al Rashidi,Al-Arabi,kuwait,177,450
20,18,Yousef Nasser,Kazma[1],kuwait,177,450
22,11,Abdulaziz Al Misha'an,Qadsia[2],kuwait,174,450
29,45,Nawaf Al Khaldi,Qadsia,kuwait,187,450
23,3,Hameed Youssef,Al-Salmiya,kuwait,177,450
27,21,Yang Zhi,Beijing Guoan,china,186,360
22,3,Li Xuepeng,Dalian Shide,china,184,360
26,12,Wang Qiang,Changsha Ginde,china,186,360
27,20,Zhao Peng,Henan Construction,china,179,360
28,54,Du Wei,Hangzhou Greentown,china,187,135000
25,42,Zhou Haibin,Shandong Luneng,china,183,450
25,39,Zhao Xuri,Shaanxi Zhongjian,china,185,360
23,30,Hao Junmin,FC Schalke 04,china,178,900
22,8,Yang Xu,Liaoning Whowin,china,188,360
22,20,Deng Zhuoxiang,Shandong Luneng,china,182,360
29,66,Qu Bo,Shaanxi Zhongjian,china,182,360
25,1,Guan Zhen,Jiangsu Sainty,china,185,360
23,12,Liu Jianye,Jiangsu Sainty,china,174,360
