age,cap,goal,height,name,nation,salary
31,26,0,184,AliKhaseifA.,U.A.E,270
29,22,0,176,KhalidEisaKhalid,U.A.E,270
22,0,0,185,MohamedAl,U.A.E,225
30,24,0,181,FaresJumaFares,U.A.E,495
29,41,0,183,MohamedAhmadMohamed,U.A.E,360
33,76,6,182,WalidAbbasW.,U.A.E,315
25,10,0,183,KhalifaMubarakK.,U.A.E,270
35,19,1,192,IsmailAhmedIsmail,U.A.E,158
20,1,0,178,KhalifaAlhammadiK.,U.A.E,26357
27,5,0,171,AlhusainSalehA.,U.A.E,180
28,9,0,169,BandarMohamedB.,U.A.E,68
24,17,1,169,AliSalminA.,U.A.E,338
26,15,0,180,MajedHassanM.,U.A.E,113
26,0,0,176,MohamedKhalfan,U.A.E,26357
29,40,2,168,AmerAbdulrahmanA.,U.A.E,405
30,21,0,173,MohamedAbdulrahmanM.,U.A.E,270
29,65,1,184,KhamisEsmaeelK.,U.A.E,248
35,120,34,168,IsmaeilMatarI.,U.A.E,270
30,62,6,166,IsmailAl,U.A.E,225
24,4,0,169,SaifRashidS.,U.A.E,23
23,21,1,165,KhalfanMubarakK.,U.A.E,162000
28,73,50,177,AliMabkhoutA.,U.A.E,252000
27,102,47,180,AhmedKhalilA.,U.A.E,135000
34,13,0,183,SiwarakTedsungnoenS.,thailand,180
32,7,0,184,ChatchaiBudpromC.,thailand,135
24,0,0,186,SaranonAnuinS.,thailand,45
28,15,4,190,PansaHemviboonP.,thailand,270
32,16,0,181,ChalermpongKerdkaewC.,thailand,225
25,25,0,175,AdisornPromrakA.,thailand,225
24,2,0,182,SuphanThongsongS.,thailand,90
29,51,5,172,TheerathonBunmathanT.,thailand,495
31,10,1,180,KorrakotWiriyaudomsiriK.,thailand,135
26,24,0,171,TristanDoT.,thailand,360
29,4,0,179,MikaChunuonseeM.,thailand,158
25,40,1,182,TanaboonKesaratT.,thailand,315
25,24,5,178,ThitipanPuangchanT.,thailand,360
27,40,6,179,PokklawA,thailand,270
23,4,0,169,SasalakHaiprakhonS.,thailand,158
25,45,5,158,ChanathipSongkrasinC.,thailand,135000
29,27,0,180,SanrawatDechmitrS.,thailand,270
32,18,1,173,SumanyaPurisayS.,thailand,180
