height,age,cap,goal,salary,name,nation
180,27,0,0,113,Abbas Ahmed Khamis,bahrain
180,26,0,0,405,Mahmood Abdulla,bahrain
180,26,0,0,405,Ahmed Mushaima,bahrain
180,26,0,0,405,Saleh Abdulhameed,bahrain
181,26,0,0,405,Hamad Rakea Al Anezi,bahrain
180,26,0,0,405,Dawood Saad,bahrain
184,29,0,0,540,Abdulla Al Marzooqi,bahrain
184,28,0,0,405,Hussain Ali Baba,bahrain
175,32,0,0,270,Salman Isa,bahrain
180,26,0,0,405,Rashed Al Hooti,bahrain
176,23,0,0,585,Abdullah Omar,bahrain
180,23,0,0,135,Abbas Ayyad,bahrain
184,29,0,0,158,Ebrahim Al Mishkhas,bahrain
180,26,0,0,405,Waleed Al Hayam,bahrain
183,29,0,0,675,Abdulla Al-Dakeel,bahrain
180,26,0,0,405,Mahmood Al Ajmi,bahrain
174,25,0,0,495,Mahmood Abdulrahman,bahrain
180,25,0,0,450,Faouzi Mubarak Aaish,bahrain
176,24,0,0,180,Abdulla Baba Fatadi,bahrain
180,20,0,0,180,Abdulwahab Al Malood,bahrain
180,26,0,0,405,Abdulwahab Al Safi,bahrain
184,24,0,0,117000,Jaycee John Okwunwanne,bahrain
182,23,0,0,405,Ismail Abdul-Latif,bahrain
