height,age,cap,goal,salary,name,nation
194,37,0,0,360000,Mark Schwarzer,australia
194,28,0,0,135000,Brad Jones,australia
191,26,0,0,225,Nathan Coe,australia
185,32,0,0,360000,Lucas Neill,australia
195,31,0,0,900,Saša Ognenovski,australia
181,28,0,0,720,Jade North,australia
188,22,0,0,450,Matthew Špiranović,australia
185,27,0,0,450,Jonathan McKain,australia
176,28,0,0,360000,Luke Wilkshire,australia
187,25,0,0,180000,Mile Jedinak,australia
173,24,0,0,675,Neil Kilkenny,australia
183,25,0,0,180000,Carl Valeri,australia
175,29,0,0,135000,Jason Čulina,australia
171,27,0,0,270,Matt McKay,australia
185,31,0,0,360000,Brett Emerton,australia
180,30,0,0,1440000,Tim Cahill,australia
177,26,0,0,225000,Brett Holman,australia
180,31,0,0,810000,Harry Kewell,australia
183,26,0,0,675,David Carney,australia
169,18,0,0,450,Tommy Oar,australia
179,21,0,0,315,Robbie Kruse,australia
173,26,0,0,360000,Scott McDonald,australia
173,22,0,0,540,Nathan Burns,australia
