height,age,cap,goal,salary,name,nation
186,27,0,0,360,Yang Zhi,china
185,25,0,0,360,Guan Zhen,china
192,23,0,0,360,Zeng Cheng,china
187,28,0,0,135000,Du Wei,china
186,27,0,0,360,Wang Qiang,china
185,21,0,0,360,Li Jianbin,china
179,27,0,0,360,Zhao Peng,china
183,23,0,0,203,Yu Hai,china
184,21,0,0,360,Li Xuepeng,china
177,23,0,0,360,Rong Hao,china
185,21,0,0,135,Zhang Linpeng,china
183,24,0,0,450,Zhou Haibin,china
185,24,0,0,360,Zhao Xuri,china
177,26,0,0,360,Yang Hao,china
174,23,0,0,360,Liu Jianye,china
178,28,0,0,360,Yu Tao,china
181,22,0,0,360,Huang Bowen,china
178,23,0,0,900,Hao Junmin,china
182,21,0,0,360,Deng Zhuoxiang,china
180,26,0,0,360,Wang Song,china
182,28,0,0,360,Qu Bo,china
185,24,0,0,360,Gao Lin,china
188,22,0,0,360,Yang Xu,china
