height,age,cap,goal,salary,name,nation
185,23,0,0,79,Subrata Pal,india
194,18,0,0,79,Gurpreet Singh Sandhu,india
185,23,0,0,79,Subhasish Roy Chowdhury,india
179,23,0,0,79,Nanjangud Shivananju Manju,india
186,23,0,0,79,Rakesh Masih,india
183,22,0,0,79,Moirangthem Govin Singh,india
189,25,0,0,79,Anwar Ali,india
173,30,0,0,79,Deepak Mondal,india
177,30,0,0,79,Mahesh Gawli,india
186,24,0,0,79,Gouramangi Singh,india
169,24,0,0,79,Syed Rahim Nabi,india
186,26,0,0,79,Mehrajuddin Wadoo,india
175,27,0,0,79,Irungbam Surkumar Singh,india
178,31,0,0,45,Climax Lawrence,india
180,23,0,0,79,Baldeep Singh Junior,india
175,27,0,0,68,Pappachen Pradeep,india
170,26,0,0,79,Steven Dias,india
178,31,0,0,79,Renedy Singh,india
172,27,0,0,79,Clifford Miranda,india
170,25,0,0,113,Sunil Chhetri,india
173,33,0,0,90,Baichung Bhutia,india
179,28,0,0,79,Mohammed Rafi,india
188,30,0,0,79,Abhishek Yadav,india
