height,age,cap,goal,salary,name,nation
194,27,17,0,90,GurpreetSingh,india
186,25,2,0,68,AmrinderSinghA.,india
188,22,0,0,23,VishalKaithV.,india
188,25,22,2,113,SandeshJhinganS.,india
188,23,4,0,23,SalamSinghS.,india
186,23,3,0,94,SubashishBoseS.,india
175,25,15,1,90,NarayanDasN.,india
179,25,18,0,90,PritamKotalP.,india
180,21,1,0,94,SarthakGoluiS.,india
180,25,9,1,90,PronayHalderP.,india
183,26,16,1,90,RowllinBorgesR.,india
175,22,4,0,94,GermanpreetSinghG.,india
185,21,1,0,68,VinitRaiVinit,india
169,21,6,0,23,AnirudhThapaA.,india
170,26,9,1,113,JackichandSinghJ.,india
174,24,16,1,90,HolicharanNarzaryH.,india
180,22,11,1,68,UdantaSinghU.,india
180,21,3,0,94,AshiqueKuruniyanA.,india
170,34,92,52,248,SunilChhetriS.,india
176,28,42,17,225,JejeLalpekhluaJ.,india
179,24,4,2,90,SumeetPassiS.,india
180,32,8,3,94,BalwantSinghB.,india
