height,age,cap,goal,salary,name,nation
181,23,0,0,45,Mohammed Gassid,irak
185,20,0,0,202,Ali Mutashar,irak
180,24,0,0,270,Ali Rehema,irak
182,23,0,0,135,Saad Attiya,irak
191,23,0,0,113,Salam Shakir,irak
190,18,0,0,202,Ahmad Ibrahim,irak
175,28,0,0,360,Bassim Abbas,irak
170,24,0,0,113,Mohammed Ali Karim,irak
178,23,0,0,202,Ahmad Ayad,irak
178,29,0,0,225,Qusay Munir,irak
179,22,0,0,90,Muthana Khalid,irak
174,24,0,0,202,Samal Saeed,irak
180,21,0,0,202,Muthana Khalid,irak
174,26,0,0,450,Mahdi Karim,irak
170,23,0,0,45,Samer Saeed,irak
183,19,0,0,202,Saad Abdul-Amir,irak
186,25,0,0,675,Nashat Akram,irak
179,23,0,0,135,Karrar Jassim,irak
179,22,0,0,90,Alaa Abdul-Zahra,irak
170,28,0,0,405,Hawar Mulla Mohammed,irak
170,27,0,0,315,Emad Mohammed,irak
185,27,0,0,900,Younis Mahmoud,irak
176,22,0,0,540,Mustafa Karim,irak
