height,age,cap,goal,salary,name,nation
187,29,0,0,113000,Mehdi Rahmati,iran
195,31,0,0,675,Ebrahim Mirzapour,iran
193,26,0,0,720,Shahab Gordan,iran
182,28,0,0,270000,Jalal Hosseini,iran
187,29,0,0,990,Hadi Aghili,iran
186,29,0,0,450,Mohammad Nosrati,iran
191,30,0,0,405,Mohsen Bengar,iran
189,28,0,0,720,Farshid Talebi,iran
176,20,0,0,900,Ehsan Hajsafi,iran
174,26,0,0,720,Khosro Heydari,iran
186,29,0,0,720000,Javad Nekounam,iran
180,27,0,0,675,Andranik Teymourian,iran
177,29,0,0,720,Pejman Nouri,iran
179,26,0,0,720,Ghasem Hadadifar,iran
185,26,0,0,306000,Masoud Shojaei,iran
174,27,0,0,900,Iman Mobali,iran
186,27,0,0,495,Mohammad Nouri,iran
169,26,0,0,135000,Mohammad Reza Khalatbari,iran
169,26,0,0,585,Gholamreza Rezaei,iran
185,21,0,0,720,Arash Afshin,iran
183,20,0,0,720,Karim Ansarifard,iran
190,27,0,0,720,Reza Norouzi,iran
184,27,0,0,720,Mohammad Gholami,iran
