height,age,cap,goal,salary,name,nation
190,28,0,0,180,Amer Shafi,jordan
178,32,0,0,180,Lo'ai Al-Amaireh,jordan
188,27,0,0,180,Moataz Yaseen,jordan
178,32,0,0,180,Hatem Aqel,jordan
174,33,0,0,180,Bashar Bani Yaseen,jordan
177,28,0,0,180,Mohammad Muneer,jordan
188,21,0,0,180,Anas Bani Yaseen,jordan
184,22,0,0,180,Mohammad Al-Dmeiri,jordan
180,27,0,0,180,Basem Fat'hi,jordan
171,23,0,0,180,Suleiman Al-Salman,jordan
178,23,0,0,180,Baha' Abdul-Rahman,jordan
183,20,0,0,180,Saeed Murjan,jordan
184,29,0,0,180,Shadi Abu Hash'hash,jordan
175,23,0,0,180,Alaa' Al-Shaqran,jordan
174,30,0,0,180,Amer Deeb,jordan
179,25,0,0,180,Ahmad Abdel-Halim,jordan
178,28,0,0,180,Mo'ayyad Abu Keshek,jordan
177,27,0,0,180,Hassan Abdel-Fattah,jordan
174,23,0,0,180,Anas Hijah,jordan
172,22,0,0,180,Ra'ed Al-Nawateer,jordan
184,23,0,0,180,Abdallah Deeb,jordan
180,24,0,0,450,Odai Al-Saify,jordan
172,19,0,0,180,Hamza Al-Dardour,jordan
