height,age,cap,goal,salary,name,nation
189,27,11,0,135000,Hyeon-uhJoH.,south-korea
187,28,36,0,108000,Seung-gyuKimS.,south-korea
192,31,16,0,900,Jin-hyeonKimJ.,south-korea
190,22,11,0,108000,Min-jaeKimM.,south-korea
188,27,6,1,900,Kyung-wonKwonK.,south-korea
188,24,8,0,810,Seung-hyeonJungS.,south-korea
184,28,62,3,765,Young-gwonKimY.,south-korea
177,26,34,0,158000,Jin-suKimJ.,south-korea
176,28,21,0,675,CheolHongC.,south-korea
180,32,37,0,450,YongLeeYong,south-korea
173,23,4,0,293,Mun-hwanKimM.,south-korea
186,29,33,1,720,Woo-youngJungW.,south-korea
174,28,15,1,675,Se-jongJuS.,south-korea
177,22,12,1,225,In-beomHwangI.,south-korea
180,26,42,7,180000,Jae-sungLeeJ.,south-korea
180,30,81,8,135000,Chung-yongLeeC.,south-korea
184,26,72,23,4500000,Heung-minSonH.,south-korea
173,21,6,0,108000,Seung-wooLeeS.,south-korea
177,23,24,2,450000,Hee-chanHwangH.,south-korea
184,26,17,4,149000,Ui-joHwangU.,south-korea
187,27,55,11,900,Dong-wonJiD.,south-korea
