height,age,cap,goal,salary,name,nation
185,23,0,0,450,Khalid Al-Rashidi,kuwait
187,29,0,0,450,Nawaf Al Khaldi,kuwait
177,25,0,0,450,Hameed Youssef,kuwait
174,23,0,0,450,Abdulaziz Al Misha'an,kuwait
177,25,0,0,450,Amer Al Fadhel,kuwait
165,23,0,0,450,Ali Maqseed,kuwait
182,25,0,0,450,Hussain Fadel,kuwait
180,26,0,0,450,Musaed Neda,kuwait
182,26,0,0,450,Ahmad Ajab,kuwait
172,26,0,0,450,Yaqoub Al Taher,kuwait
173,23,0,0,450,Talal Al Amer,kuwait
173,28,0,0,450,Jarah Al Ateeqi,kuwait
177,25,0,0,450,Yousef Nasser,kuwait
190,23,0,0,450,Fahad Al Ansari,kuwait
177,25,0,0,450,Ahmed Saad Al Rashidi,kuwait
177,25,0,0,450,Abdullah Al Shemali,kuwait
170,23,0,0,450,Hamad Al Enezi,kuwait
175,21,0,0,450,Fahad Al Enezi,kuwait
173,29,0,0,450,Waleed Ali,kuwait
175,28,0,0,450,Saleh Al Sheikh,kuwait
175,25,0,0,450,Bader Al-Mutwa,kuwait
181,26,0,0,450,Fahad Awadh,kuwait
180,26,0,0,450,Khaled Khalaf,kuwait
