height,age,cap,goal,salary,name,nation
188,23,0,0,315,Ri Myong-guk,northkorea
181,25,0,0,135,Kim Myong-gil,northkorea
192,22,0,0,382,Ri Kwang-il,northkorea
178,24,0,0,540,KwangChonRiK,northkorea
185,24,0,0,450,Pak Chol-jin,northkorea
178,22,0,0,315,Ri Jun-il,northkorea
185,21,0,0,135,Jon Kwang-ik,northkorea
175,22,0,0,180,Ri Kwang-hyok,northkorea
169,22,0,0,382,Ri Kwang-chon,northkorea
178,24,0,0,360,Cha Jong-hyok,northkorea
175,21,0,0,225,Kim Kuk-jin,northkorea
182,31,0,0,450,An Yong-hak,northkorea
176,24,0,0,270,Ji Yun-nam,northkorea
172,21,0,0,45,Choe Myong-ho,northkorea
182,26,0,0,540,Kim Yong-jun,northkorea
173,24,0,0,450,Pak Nam-chol,northkorea
169,31,0,0,360,Mun In-guk,northkorea
172,28,0,0,900,Ryang Yong-gi,northkorea
175,28,0,0,675,Hong Yong-jo,northkorea
180,26,0,0,225000,Jong Tae-se,northkorea
182,23,0,0,405,Choe Kum-chol,northkorea
177,25,0,0,405,An Chol-hyok,northkorea
178,24,0,0,382,Pak Chol-min,northkorea
