age,cap,name,club
25,17,Qasem Burhan,Al-Gharrafa
24,9,Hamid Ismail,Al-Rayyan
24,10,Mohammed Kasola,Al-Sadd
26,6,Lawrence Quaye,Al-Gharrafa
20,5,Hassan Al Haydos,Al-Sadd
24,56,Bilal Mohammed,Al-Gharrafa
29,38,Wesam Rizik,Al-Sadd
24,31,Mesaad Al-Hamad,Al-Sadd
22,6,Jaralla Al-Marri,Al-Rayyan
26,15,Hussein Yasser,Al-Zamalek
31,22,Fábio César Montezine,Al-Rayyan
22,15,Yusef Ahmed,Al-Sadd
20,31,Ibrahim Majid,Al-Sadd
22,28,Khalfan Ibrahim,Al-Sadd
24,39,Talal Al-Bloushi,Al-Sadd
24,5,Mohamed Elsayed,Umm-Salal
22,0,Abdulaziz Al Sulaiti,Al-Arabi
27,45,Ibrahim Al-Ghanim,Al-Gharrafa
18,2,Khalid Muftah,Lekhwiya
22,26,Ali Afif,Al-Sadd
26,2,Mohammed Mubarak,Qatar SC
20,3,Saad Al Sheeb,Al-Sadd
27,46,Sebastián Soria,Qatar SC
26,9,Temur Juraev,Pakhtakor Tashkent
32,29,Ulugbek Bakayev,Tobol
24,4,Shavkat Mullajanov,Olmaliq
25,27,Anzur Ismailov,Bunyodkor
24,15,Aziz Ibrahimov,Bohemians
23,14,Sakhob Juraev,Bunyodkor
25,26,Aziz Haydarov,Bunyodkor
28,66,Server Djeparov,FC Seoul
23,33,Odil Ahmedov,Pakhtakor Tashkent
25,5,Shavkat Salomov,Nasaf Qarshi
25,22,Marat Bikmaev,Alania Vladikavkaz
27,50,Ignatiy Nesterov,Bunyodkor
27,7,Olim Navkarov,Qizilqum Zarafshon
22,9,Stanislav Andreev,Pakhtakor Tashkent
26,55,Alexander Geynrikh,Pakhtakor Tashkent
32,52,Maksim Shatskikh,Arsenal Kyiv
24,2,Sanjar Tursunov,Volga Nizhny Novgorod
29,74,Timur Kapadze,Bunyodkor
27,18,Jasur Hasanov,Lekhwiya
20,1,Farrukh Nurliboev,Olmaliq
27,1,Murod Zukhurov,Nasaf Qarshi
33,45,Viktor Karpenko,Bunyodkor
23,7,Vagiz Galiullin,Sibir Novosibirsk
23,0,Khalid Al-Rashidi,Al-Arabi
27,46,Yaqoub Al Taher,Al-Ettifaq[1]
25,26,Fahad Awadh,Al-Kuwait
26,36,Hussain Fadel,Qadsia
26,26,Ahmad Ajab,Qadsia
22,14,Amer Al Fadhel,Qadsia
22,16,Fahad Al Enezi,Kazma
28,31,Saleh Al Sheikh,Qadsia
24,12,Ali Maqseed,Al-Arabi
27,30,Khaled Khalaf,Al-Arabi
23,21,Fahad Al Ansari,Qadsia
22,5,Abdullah Al Shemali,Al-Shabab[1]
27,68,Musaed Neda,Qadsia
23,21,Talal Al Amer,Qadsia
30,68,Waleed Ali,Al-Kuwait
24,22,Hamad Al Enezi,Qadsia
25,102,Bader Al-Mutwa,Qadsia
29,48,Jarah Al Ateeqi,Al-Kuwait
27,8,Ahmed Saad Al Rashidi,Al-Arabi
20,18,Yousef Nasser,Kazma[1]
22,11,Abdulaziz Al Misha'an,Qadsia[2]
29,45,Nawaf Al Khaldi,Qadsia
23,3,Hameed Youssef,Al-Salmiya
27,21,Yang Zhi,Beijing Guoan
22,3,Li Xuepeng,Dalian Shide
26,12,Wang Qiang,Changsha Ginde
27,20,Zhao Peng,Henan Construction
28,54,Du Wei,Hangzhou Greentown
25,42,Zhou Haibin,Shandong Luneng
25,39,Zhao Xuri,Shaanxi Zhongjian
23,30,Hao Junmin,FC Schalke 04
22,8,Yang Xu,Liaoning Whowin
22,20,Deng Zhuoxiang,Shandong Luneng
29,66,Qu Bo,Shaanxi Zhongjian
25,1,Guan Zhen,Jiangsu Sainty
23,12,Liu Jianye,Jiangsu Sainty
27,7,Wang Song,Hangzhou Greentown
29,8,Yu Tao,Shanghai Shenhua
23,15,Huang Bowen,Beijing Guoan
21,14,Zhang Linpeng,Guangzhou Evergrande
24,41,Gao Lin,Guangzhou Evergrande
27,22,Yang Hao,Beijing Guoan
23,26,Rong Hao,Hangzhou Greentown
23,19,Yu Hai,Shaanxi Zhongjian
23,9,Zeng Cheng,Henan Construction
21,0,Li Jianbin,Chengdu Blades
27,16,Eiji Kawashima,Lierse
25,0,Masahiko Inoha,Kashima Antlers
28,4,Daiki Iwamasa,Kashima Antlers
27,40,Yasuyuki Konno,F.C. Tokyo
24,34,Yuto Nagatomo,Cesena
22,34,Atsuto Uchida,FC Schalke 04
30,100,Yasuhito Endō,Gamba Osaka
29,29,Daisuke Matsui,Tom Tomsk
24,35,Shinji Okazaki,Shimizu S-Pulse
21,17,Shinji Kagawa,Borussia Dortmund
29,7,Ryoichi Maeda,Júbilo Iwata
24,0,Ryota Moriwaki,Sanfrecce Hiroshima
24,3,Hajime Hosogai,FC Augsburg
26,6,Jungo Fujimoto,Shimizu S-Pulse
25,0,Takuya Honda,Shimizu S-Pulse
23,1,Yosuke Kashiwagi,Urawa Red Diamonds
26,37,Makoto Hasebe,VfL Wolfsburg
24,23,Keisuke Honda,CSKA Moscow
25,0,Tadanari Lee,Sanfrecce Hiroshima
