height,age,cap,goal,salary,name,nation
192,24,0,0,495,Qasem Burhan,qatar
184,20,0,0,495,Saad Al Sheeb,qatar
183,24,0,0,495,Bilal Mohammed,qatar
183,20,0,0,495,Ibrahim Majid,qatar
178,27,0,0,495,Ibrahim Al-Ghanim,qatar
171,17,0,0,495,Khalid Muftah,qatar
169,24,0,0,495,Hamid Ismail,qatar
172,24,0,0,495,Mesaad Al-Hamad,qatar
179,25,0,0,495,Lawrence Quaye,qatar
181,23,0,0,495,Mohammed Kasola,qatar
183,29,0,0,495,Wesam Rizik,qatar
180,22,0,0,495,Abdulaziz Al Sulaiti,qatar
177,24,0,0,495,Talal Al-Bloushi,qatar
170,27,0,0,720,Hussein Yasser,qatar
170,22,0,0,360,Khalfan Ibrahim,qatar
175,24,0,0,495,Mohamed Elsayed,qatar
170,31,0,0,495,Fábio César Montezine,qatar
163,21,0,0,495,Yusef Ahmed,qatar
183,23,0,0,495,Mohammed Mubarak,qatar
172,22,0,0,495,Ali Afif,qatar
174,19,0,0,495,Hassan Al Haydos,qatar
186,26,0,0,315,Sebastián Soria,qatar
179,22,0,0,495,Jaralla Al-Marri,qatar
