height,age,cap,goal,salary,name,nation
196,24,0,0,540,Waleed Abdullah,saudi
185,31,0,0,450,Mabrouk Zaid,saudi
190,21,0,0,540,Hussain Shae'an,saudi
187,26,0,0,900,Osama Hawsawi,saudi
180,28,0,0,720,Hamad Al-Montashari,saudi
181,26,0,0,630,Osama Al-Muwallad,saudi
182,27,0,0,540,Kamel Al-Mousa,saudi
167,25,0,0,630,Abdullah Shuhail,saudi
180,26,0,0,225,Mishaal Al-Saeed,saudi
184,29,0,0,117000,Saud Khariri,saudi
177,22,0,0,540,Moataz Al-Musa,saudi
169,25,0,0,675,Taisir Al-Jassim,saudi
170,27,0,0,540,Ahmed Otaif,saudi
177,27,0,0,158,Mohammed Massad,saudi
165,30,0,0,540,Manaf Abushgeer,saudi
173,21,0,0,540,Abdullaziz Al-Dosari,saudi
163,29,0,0,900,Mohammad Al-Shalhoub,saudi
172,26,0,0,720,Abdoh Otaif,saudi
172,22,0,0,270,Mohannad Asseri,saudi
170,20,0,0,540,Nawaf Al Abed,saudi
176,27,0,0,180000,Yasser Al-Qahtani,saudi
173,26,0,0,162000,Nasser Al-Shamrani,saudi
181,21,0,0,108000,Naif Hazazi,saudi
