age,cap,name,club,nation
25,17,Qasem Burhan,Al-Gharrafa,qatar
24,9,Hamid Ismail,Al-Rayyan,qatar
24,10,Mohammed Kasola,Al-Sadd,qatar
26,6,Lawrence Quaye,Al-Gharrafa,qatar
20,5,Hassan Al Haydos,Al-Sadd,qatar
24,56,Bilal Mohammed,Al-Gharrafa,qatar
29,38,Wesam Rizik,Al-Sadd,qatar
24,31,Mesaad Al-Hamad,Al-Sadd,qatar
22,6,Jaralla Al-Marri,Al-Rayyan,qatar
26,15,Hussein Yasser,Al-Zamalek,qatar
31,22,Fábio César Montezine,Al-Rayyan,qatar
22,15,Yusef Ahmed,Al-Sadd,qatar
20,31,Ibrahim Majid,Al-Sadd,qatar
22,28,Khalfan Ibrahim,Al-Sadd,qatar
24,39,Talal Al-Bloushi,Al-Sadd,qatar
24,5,Mohamed Elsayed,Umm-Salal,qatar
22,0,Abdulaziz Al Sulaiti,Al-Arabi,qatar
27,45,Ibrahim Al-Ghanim,Al-Gharrafa,qatar
18,2,Khalid Muftah,Lekhwiya,qatar
22,26,Ali Afif,Al-Sadd,qatar
26,2,Mohammed Mubarak,Qatar SC,qatar
20,3,Saad Al Sheeb,Al-Sadd,qatar
27,46,Sebastián Soria,Qatar SC,qatar
26,9,Temur Juraev,Pakhtakor Tashkent,uzbekistan
32,29,Ulugbek Bakayev,Tobol,uzbekistan
24,4,Shavkat Mullajanov,Olmaliq,uzbekistan
25,27,Anzur Ismailov,Bunyodkor,uzbekistan
24,15,Aziz Ibrahimov,Bohemians,uzbekistan
23,14,Sakhob Juraev,Bunyodkor,uzbekistan
25,26,Aziz Haydarov,Bunyodkor,uzbekistan
28,66,Server Djeparov,FC Seoul,uzbekistan
23,33,Odil Ahmedov,Pakhtakor Tashkent,uzbekistan
25,5,Shavkat Salomov,Nasaf Qarshi,uzbekistan
25,22,Marat Bikmaev,Alania Vladikavkaz,uzbekistan
27,50,Ignatiy Nesterov,Bunyodkor,uzbekistan
27,7,Olim Navkarov,Qizilqum Zarafshon,uzbekistan
22,9,Stanislav Andreev,Pakhtakor Tashkent,uzbekistan
26,55,Alexander Geynrikh,Pakhtakor Tashkent,uzbekistan
32,52,Maksim Shatskikh,Arsenal Kyiv,uzbekistan
24,2,Sanjar Tursunov,Volga Nizhny Novgorod,uzbekistan
29,74,Timur Kapadze,Bunyodkor,uzbekistan
27,18,Jasur Hasanov,Lekhwiya,uzbekistan
20,1,Farrukh Nurliboev,Olmaliq,uzbekistan
27,1,Murod Zukhurov,Nasaf Qarshi,uzbekistan
33,45,Viktor Karpenko,Bunyodkor,uzbekistan
23,7,Vagiz Galiullin,Sibir Novosibirsk,uzbekistan
23,0,Khalid Al-Rashidi,Al-Arabi,kuwait
