height,age,cap,goal,salary,name,nation
191,25,0,0,810,Jung Sung-ryong,southkorea
192,22,0,0,540,Kim Jin-hyeon,southkorea
190,30,0,0,360,Kim Yong-dae,southkorea
185,30,0,0,180000,Lee Jung-soo,southkorea
188,28,0,0,900,Kwak Tae-hwi,southkorea
186,29,0,0,270,Hwang Jae-won,southkorea
186,20,0,0,765,Hong Jeong-ho,southkorea
176,33,0,0,162000,Lee Young-pyo,southkorea
181,29,0,0,113000,Cha Du-ri,southkorea
172,26,0,0,108000,Choi Hyo-jin,southkorea
186,21,0,0,270000,Ki Sung-yueng,southkorea
175,24,0,0,765,Lee Yong-rae,southkorea
185,22,0,0,360,Yoo Byung-soo,southkorea
178,20,0,0,765,Yoon Bit-garam,southkorea
178,29,0,0,1035000,Park Ji-sung,southkorea
180,21,0,0,270000,Lee Chung-yong,southkorea
178,20,0,0,270,Kim Bo-kyung,southkorea
182,21,0,0,180,Koo Ja-cheol,southkorea
182,27,0,0,675,Yeom Ki-hun,southkorea
184,17,0,0,765,Son Heung-min,southkorea
172,27,0,0,162000,Cho Yong-hyung,southkorea
187,19,0,0,765,Ji Dong-won,southkorea
197,22,0,0,765,Kim Shin-wook,southkorea
