height,age,cap,goal,salary,name,nation
186,26,0,0,45,Mosab Balhous,syria
175,30,0,0,113,Radwan Al Azhar,syria
184,26,0,0,113,Adnan Al Hafez,syria
170,24,0,0,90,Burhan Sahyouni,syria
186,28,0,0,113,Ali Diab,syria
182,24,0,0,90,Abdulkader Dakka,syria
186,23,0,0,113,Jehad Al Baour,syria
185,20,0,0,113,Ahmad Al Salih,syria
179,24,0,0,113,Nadim Sabagh,syria
180,27,0,0,113,Belal Abduldaim,syria
180,23,0,0,113,Qusay Habib,syria
180,26,0,0,113,Adel Abdullah,syria
173,30,0,0,135000,Louay Chanko,syria
182,27,0,0,113,Feras Esmaeel,syria
182,19,0,0,113,Taha Dyab,syria
171,25,0,0,68,Wael Ayan,syria
179,25,0,0,113,Samer Awad,syria
168,27,0,0,113,Jehad Al Hussain,syria
185,23,0,0,113,Abdelrazaq Al Hussain,syria
179,26,0,0,900,Sanharib Malki Sabah,syria
184,27,0,0,113,Mohamed Al Zeno,syria
181,25,0,0,90,Abdul Fattah Al Agha,syria
174,27,0,0,113,Firas Al Khatib,syria
