height,age,cap,goal,salary,name,nation
178,26,0,0,315,Majed Nasser,uae
186,30,0,0,315,Obaid Al Tawila,uae
184,23,0,0,315,Ali Khasif,uae
183,21,0,0,315,Mohamed Ahmed,uae
181,21,0,0,315,Fares Juma Al Saadi,uae
183,21,0,0,315,Hamdan Al Kamali,uae
182,25,0,0,315,Walid Abbas,uae
187,23,0,0,315,Abdulla Al Bloushi,uae
183,25,0,0,315,Yousif Jaber,uae
171,22,0,0,315,Mahmoud Khamees,uae
179,23,0,0,315,Khalid Sebil Lashkari,uae
173,30,0,0,360,Subait Khater,uae
173,21,0,0,315,Omar Abdulrahman,uae
168,20,0,0,315,Amer Abdulrahman,uae
175,22,0,0,315,Amer Mubarak,uae
170,26,0,0,315,Ali Al-Wehaibi,uae
168,27,0,0,405,Ismail Matar,uae
166,22,0,0,315,Ismail Al Hammadi,uae
163,24,0,0,315,Ahmed Khalil,uae
175,19,0,0,315,Theyab Awana,uae
179,22,0,0,315,Mohamed Al Shehhi,uae
183,22,0,0,315,Saeed Al Kathiri,uae
177,34,0,0,315,Saeed Al Kass,uae
