height,age,cap,goal,salary,name,nation
182,27,0,0,900,Ignatiy Nesterov,uzbekistan
185,26,0,0,225,Temur Juraev,uzbekistan
188,27,0,0,23,Murod Zukhurov,uzbekistan
180,24,0,0,292,Farrukh Nurliboev,uzbekistan
190,25,0,0,135,Anzur Ismailov,uzbekistan
180,24,0,0,292,Shavkat Mullajanov,uzbekistan
174,23,0,0,180,Sakhob Juraev,uzbekistan
180,24,0,0,360,Aziz Haydarov,uzbekistan
180,22,0,0,315,Odil Ahmedov,uzbekistan
185,28,0,0,720,Timur Kapadze,uzbekistan
174,22,0,0,675,Vagiz Galiullin,uzbekistan
180,32,0,0,450,Viktor Karpenko,uzbekistan
174,23,0,0,90,Sanjar Tursunov,uzbekistan
177,22,0,0,292,Stanislav Andreev,uzbekistan
178,27,0,0,180000,Server Djeparov,uzbekistan
174,26,0,0,23,Jasur Hasanov,uzbekistan
174,24,0,0,90,Shavkat Salomov,uzbekistan
182,23,0,0,315,Aziz Ibrahimov,uzbekistan
187,31,0,0,900,Maksim Shatskikh,uzbekistan
183,25,0,0,765,Alexander Geynrikh,uzbekistan
183,31,0,0,270,Ulugbek Bakayev,uzbekistan
178,24,0,0,270,Marat Bikmaev,uzbekistan
180,24,0,0,292,Olim Navkarov,uzbekistan
